environment,vlan,hostname,description,ip,flavor,volume,volume_size,image
Kenya AMS,KE-AMS-APP,KEA1AP01,App Server,10.2.2.100,general1-4,KEA1AP01_bootvol,80,winbase
Kenya Dev 1,KE-DEV1,KED1AP01,App Server,10.5.1.105,general1-4,KED1AP01_bootvol,80,winbase
Kenya Dev 2,KE-DEV2,KED2AP01,App Server,10.5.2.105,general1-4,KED2AP01_bootvol,80,winbase
Kenya Dev 3,KE-DEV3,KED3AP01,App Server,10.5.3.105,general1-4,KED3AP01_bootvol,80,winbase
Kenya SIT1,KE-SIT1-APP,KES1AP01,App Server,10.2.5.100,general1-4,KES1AP01_bootvol,80,winbase
Kenya SIT2,KE-SIT2-APP,KES2AP01,App Server,10.2.8.100,general1-4,KES2AP01_bootvol,80,winbase
Kenya SIT3,KE-SIT3-APP,KES3AP01,App Server,10.2.11.100,general1-4,KES3AP01_bootvol,80,winbase
Kenya SIT4,KE-SIT4-APP,KES4AP01,App Server,10.2.14.100,general1-4,KES4AP01_bootvol,80,winbase
MZ AMS,MZ-AMS-APP,MZA1AP01,App Server,10.3.2.100,general1-4,MZA1AP01_bootvol,80,winbase
MZ Dev 1,MZ-DEV1,MZD1AP01,App Server,10.5.11.106,general1-4,MZD1AP01_bootvol,80,winbase
MZ SIT1,MZ-SIT1-APP,MZS1AP01,App Server,10.3.5.100,general1-4,MZS1AP01_bootvol,80,winbase
Tanzania AMS,TZ-AMS-APP,TZA1AP01,App Server,10.4.2.100,general1-4,TZA1AP01_bootvol,80,winbase
Tanzania SIT1,TZ-SIT1-APP,TZS1AP01,App Server,10.4.5.100,general1-4,TZS1AP01_bootvol,80,winbase
Tanzania SIT2,TZ-SIT2-APP,TZS2AP01,App Server,10.4.8.100,general1-4,TZS2AP01_bootvol,80,winbase
TZ Dev 1,TZ-DEV1,TZD1AP01,App Server,10.5.21.105,general1-4,TZD1AP01_bootvol,80,winbase
TZ Dev 2,TZ-DEV2,TZD2AP01,App Server,10.5.22.105,general1-4,TZD2AP01_bootvol,80,winbase
Kenya AMS,KE-AMS-APP,KEA1CL01,Cache Server,10.2.2.101,general1-4,KEA1CL01_bootvol,80,winbase
Kenya Dev 1,KE-DEV1,KED1CL01,Cache Server,10.5.1.106,general1-4,KED1CL01_bootvol,80,winbase
Kenya Dev 2,KE-DEV2,KED2CL01,Cache Server,10.5.2.106,general1-4,KED2CL01_bootvol,80,winbase
